نص السؤال 	رقم السورة 	رقم الآية 	رقم آية 1	رقم آية 2	رقم آية 3
ترى من يُفضّل بعض المشركين أو الملحدين على المسلمين بدعوى أنهم أكثر إنسانية أو أفضل أخلاقاَ ، اذكر آية تستدل بها على هؤلاء لتبين لهن أن الله شنع على من يفضل كافراً على مؤمن .	4	{ أَلَمۡ تَرَ إِلَى ٱلَّذِینَ أُوتُوا۟ نَصِیبࣰا مِّنَ ٱلۡكِتَـٰبِ یُؤۡمِنُونَ بِٱلۡجِبۡتِ وَٱلطَّـٰغُوتِ وَیَقُولُونَ لِلَّذِینَ كَفَرُوا۟ هَـٰۤؤُلَاۤءِ أَهۡدَىٰ مِنَ ٱلَّذِینَ ءَامَنُوا۟ سَبِیلًا (٥١) أُو۟لَـٰۤىِٕكَ ٱلَّذِینَ لَعَنَهُمُ ٱللَّهُۖ وَمَن یَلۡعَنِ ٱللَّهُ فَلَن تَجِدَ لَهُۥ نَصِیرًا (٥٢) }[سُورَةُ النِّسَاءِ: ٥١-٥٢]	51	52	
بعض الشباب و الفتيات لا يلتزم بأمر الله عز وجل في التعامل مع الجنس الآخر ، و يدخل غي ذلك مسائل غض البصر مثلاً . فإذا راجعته قال لك يا أخي أنا بشر من لحم و دم و نوازع و الفتنة شديدة.  اذكر آية تُبيّن في سياقها أن الله تعالى ما شرع الذي شرع لنا من حدود في العلاقة بين الرجل و المرأة إلا و هو تعالى يعلم ما لدينا من نوازع ، فحد هذه الحدود رحمة بنا حتى لا نقع في الآثار المدمرة للفوضى الأخلاقية. 	4	} یُرِیدُ ٱللَّهُ لِیُبَیِّنَ لَكُمۡ وَیَهۡدِیَكُمۡ سُنَنَ ٱلَّذِینَ مِن قَبۡلِكُمۡ وَیَتُوبَ عَلَیۡكُمۡۗ وَٱللَّهُ عَلِیمٌ حَكِیمࣱ (٢٦) وَٱللَّهُ یُرِیدُ أَن یَتُوبَ عَلَیۡكُمۡ وَیُرِیدُ ٱلَّذِینَ یَتَّبِعُونَ ٱلشَّهَوَ ٰ⁠تِ أَن تَمِیلُوا۟ مَیۡلًا عَظِیمࣰا (٢٧) یُرِیدُ ٱللَّهُ أَن یُخَفِّفَ عَنكُمۡۚ وَخُلِقَ ٱلۡإِنسَـٰنُ ضَعِیفࣰا (٢٨) }[سُورَةُ النِّسَاءِ: ٢٦-٢٨ [	26	27	28
اذكر آية تبين أن بعض الناس يرتكبون المحرمات أكثر مما لو أنهم أُمروا بها أمراً شرعياً !	4	{ وَلَوۡ أَنَّا كَتَبۡنَا عَلَیۡهِمۡ أَنِ ٱقۡتُلُوۤا۟ أَنفُسَكُمۡ أَوِ ٱخۡرُجُوا۟ مِن دِیَـٰرِكُم مَّا فَعَلُوهُ إِلَّا قَلِیلࣱ مِّنۡهُمۡۖ }[سُورَةُ النِّسَاءِ: ٦٦]	66		
ليس لله تعالى من حاجة في عذاب الناس ، إنما العذاب جزاء السوء . اذكر آية تدل على أن العباد إذا كانوا من المؤمنين و أظهروا العرفان لله تعالى بجميله عليهم فإنه سبحانه و تعالى لا حاجة له بعذابهم .	4	{ مَّا یَفۡعَلُ ٱللَّهُ بِعَذَابِكُمۡ إِن شَكَرۡتُمۡ وَءَامَنتُمۡۚ وَكَانَ ٱللَّهُ شَاكِرًا عَلِیمࣰا }[سُورَةُ النِّسَاءِ: ١٤٧]	147		
اذكر آية يتضح فيها المعنى الذي ذكرناه من قبل أن القرآن بنسب الفضل إلى الله فيما يحصل للنبي من خير بينما ينسب التسبب في المكروهات على النفس إلى النبي إن أصابه شيء منها 	4	{ مَّاۤ أَصَابَكَ مِنۡ حَسَنَةࣲ فَمِنَ ٱللَّهِۖ وَمَاۤ أَصَابَكَ مِن سَیِّئَةࣲ فَمِن نَّفۡسِكَۚ }[سُورَةُ النِّسَاءِ: ٧٩]	79		
من الناس من يبرز الإعراض عن حكم الله و تعطيل العمل به من باب الحفاظ على السلم المجتمعي و التعايش بين أهل الملل المختلفة . اذكر آيات تحكي عن أمثالهم هذا العذر ، و الرد عليهم .	4	{ أَلَمۡ تَرَ إِلَى ٱلَّذِینَ یَزۡعُمُونَ أَنَّهُمۡ ءَامَنُوا۟ بِمَاۤ أُنزِلَ إِلَیۡكَ وَمَاۤ أُنزِلَ مِن قَبۡلِكَ یُرِیدُونَ أَن یَتَحَاكَمُوۤا۟ إِلَى ٱلطَّـٰغُوتِ وَقَدۡ أُمِرُوۤا۟ أَن یَكۡفُرُوا۟ بِهِۦۖ وَیُرِیدُ ٱلشَّیۡطَـٰنُ أَن یُضِلَّهُمۡ ضَلَـٰلَۢا بَعِیدࣰا (٦٠) وَإِذَا قِیلَ لَهُمۡ تَعَالَوۡا۟ إِلَىٰ مَاۤ أَنزَلَ ٱللَّهُ وَإِلَى ٱلرَّسُولِ رَأَیۡتَ ٱلۡمُنَـٰفِقِینَ یَصُدُّونَ عَنكَ صُدُودࣰا (٦١) فَكَیۡفَ إِذَاۤ أَصَـٰبَتۡهُم مُّصِیبَةُۢ بِمَا قَدَّمَتۡ أَیۡدِیهِمۡ ثُمَّ جَاۤءُوكَ یَحۡلِفُونَ بِٱللَّهِ إِنۡ أَرَدۡنَاۤ إِلَّاۤ إِحۡسَـٰنࣰا وَتَوۡفِیقًا (٦٢) }[سُورَةُ النِّسَاءِ: ٦٠-٦٢]	60	61	62
يفتح الله أبواب التوبة ، و المفسدون يحرفون الداخلين عنها . اذكر آية تدل على هذا المعنى. 	4	{ وَٱللَّهُ یُرِیدُ أَن یَتُوبَ عَلَیۡكُمۡ وَیُرِیدُ ٱلَّذِینَ یَتَّبِعُونَ ٱلشَّهَوَ ٰ⁠تِ أَن تَمِیلُوا۟ مَیۡلًا عَظِیمࣰا }[سُورَةُ النِّسَاءِ: ٢٧]	27		
من أنواع اللام لام العلة و لام التقوية ، إذا قلت : إني نصير لك ، فاللام هنا تسمى لام التقوية ، بينما في قوله تعالى : { إِنَّ ٱلَّذِینَ یَغُضُّونَ أَصۡوَ ٰ⁠تَهُمۡ عِندَ رَسُولِ ٱللَّهِ أُو۟لَـٰۤىِٕكَ ٱلَّذِینَ ٱمۡتَحَنَ ٱللَّهُ قُلُوبَهُمۡ لِلتَّقۡوَىٰۚ }[سُورَةُ الحُجُرَاتِ: ٣] ،فاللام لام العلة.  و التقدير امتحن قلوبهم لأجل التقوى ، أي لتكون فيها التقوى . اذكر أربع كلمات من آية يؤدي عدم معرفة أن اللام فيها لام علة إلى سوء فهم كأن الله تعالى ينهى نبيه أن يقف موقفاً من قوم سوء .	4	{إِنَّاۤ أَنزَلۡنَاۤ إِلَیۡكَ ٱلۡكِتَـٰبَ بِٱلۡحَقِّ لِتَحۡكُمَ بَیۡنَ ٱلنَّاسِ بِمَاۤ أَرَىٰكَ ٱللَّهُۚ وَلَا تَكُن لِّلۡخَاۤىِٕنِینَ خَصِیمࣰا }[سُورَةُ النِّسَاءِ: ١٠٥ [	105		
لا يكفي المسلمَ أن يمتثل أمر الله و رسوله و يرجع إلى شرعه ، و إنما لا بد من الانقياد و ألا يكون في نفسه كراهية أو رفض لأنه الله ورسوله . اذكر آية فيها هذا المعنى .	4	{ فَلَا وَرَبِّكَ لَا یُؤۡمِنُونَ حَتَّىٰ یُحَكِّمُوكَ فِیمَا شَجَرَ بَیۡنَهُمۡ ثُمَّ لَا یَجِدُوا۟ فِیۤ أَنفُسِهِمۡ حَرَجࣰا مِّمَّا قَضَیۡتَ وَیُسَلِّمُوا۟ تَسۡلِیمࣰا }[سُورَةُ النِّسَاءِ: ٦٥]	65		
يكنّي القرآن عن بعض الأمور التي قد يُستحي من ذكرها ، و هذا من سموّ القرآن . اذكر كلمةً وردت في جزء اليوم كمثال على ذلك .	4	{یَـٰۤأَیُّهَا ٱلَّذِینَ ءَامَنُوا۟ لَا تَقۡرَبُوا۟ ٱلصَّلَوٰةَ وَأَنتُمۡ سُكَـٰرَىٰ حَتَّىٰ تَعۡلَمُوا۟ مَا تَقُولُونَ وَلَا جُنُبًا إِلَّا عَابِرِی سَبِیلٍ حَتَّىٰ تَغۡتَسِلُوا۟ۚ وَإِن كُنتُم مَّرۡضَىٰۤ أَوۡ عَلَىٰ سَفَرٍ أَوۡ جَاۤءَ أَحَدࣱ مِّنكُم مِّنَ ٱلۡغَاۤىِٕطِ أَوۡ لَـٰمَسۡتُمُ ٱلنِّسَاۤءَ فَلَمۡ تَجِدُوا۟ مَاۤءࣰ فَتَیَمَّمُوا۟ صَعِیدࣰا طَیِّبࣰا فَٱمۡسَحُوا۟ بِوُجُوهِكُمۡ وَأَیۡدِیكُمۡۗ إِنَّ ٱللَّهَ كَانَ عَفُوًّا غَفُورًا }[سُورَةُ النِّسَاءِ: ٤٣ [	43		
