نص السؤال	رقم السورة	رقم الآية	رقم آية1	رقم آية2	رقم آية3
المُبتلى يخَّفف عنه عادة وجود أناس حوله مصابين بالمصائب. لكن هذا التعزّي لا يكون واقعا مع أهل النار. اذكر آية تدل على ذلك.	43	{ وَلَن یَنفَعَكُمُ ٱلۡیَوۡمَ إِذ ظَّلَمۡتُمۡ أَنَّكُمۡ فِی ٱلۡعَذَابِ مُشۡتَرِكُونَ }[سُورَةُ الزُّخۡرُفِ: ٣٩]	39		
يظن بعض الناس أن فيه مقومات شخصية ومجدا ذاتيا لا يؤهله إلا لكل كرامة واحترام، وأنه لا يليق به شيء من المشقة و الضرر، حتى يستبعد أن يتعرض لبلايا تكسر النفس وتذلها. اذكر آية تتحدث عن مثل هذه النفسيات	41	{وَلَئِنْ أَذَقْنَاهُ رَحْمَةً مِّنَّا مِن بَعْدِ ضَرَّاءَ مَسَّتْهُ لَيَقُولَنَّ هَٰذَا لِي وَمَا أَظُنُّ السَّاعَةَ قَائِمَةً وَلَئِن رُّجِعْتُ إِلَىٰ رَبِّي إِنَّ لِي عِندَهُ لَلْحُسْنَىٰ ۚ فَلَنُنَبِّئَنَّ الَّذِينَ كَفَرُوا بِمَا عَمِلُوا وَلَنُذِيقَنَّهُم مِّنْ عَذَابٍ غَلِيظٍ} [سُورَةُ فُصِّلَتۡ: ٥٠]	50		
يظن البعض أن مسألة وجود الله تعالى أغلبية قابلة للنقاش. ومما يؤدي به إلى هذا الوهم قوله: لو كان وجود الله أمرا قاطعاً يقينياً فكيف يخفى على عدد من علماء الطبيعة الغربيين الأذكياء المتميزين في مجالهم. اذكر آية تقلب عذه الشبهة دليلا على قدرة الله.	45	{أَفَرَأَيْتَ مَنِ اتَّخَذَ إِلَٰهَهُ هَوَاهُ وَأَضَلَّهُ اللَّهُ عَلَىٰ عِلْمٍ وَخَتَمَ عَلَىٰ سَمْعِهِ وَقَلْبِهِ وَجَعَلَ عَلَىٰ بَصَرِهِ غِشَاوَةً فَمَن يَهْدِيهِ مِن بَعْدِ اللَّهِ ۚ أَفَلَا تَذَكَّرُونَ} [سُورَةُ الجَاثِيَةِ: ٢٣]	23		
الإعلام يَقرن التديّن المنفّرات و العصيان بالمرغوبات. كثيرا ما يقرن الحجاب والفقر والبُؤس، ويقرن التبرج بالغنى و الجمال و المستوى العلمي الرفيع والسعادة والضحكات. وقل مثل ذلك على اللحية والعديد من مظاهر الإسلام. بذلك يضرب على وتر نفسي جدا، وهو توهم أن اقتران الأشياء يعني أن أحدها يسبب الأخر. و كأن التبرج وقلة الدين تُسبب "الرّقي" والسعادة بينما الحجاب سبب في البُؤس والفقر. ولذلك فمن زكاة النّعم التي يُنعم الله بها عليك أن تُظنر اقتران علمك أو مالك بالدين لتكسر الاقتران المشئوم الذي يريده المبطلون و إعلامهم. اذكر ثلاث آيات متتاليات تذكرك بهذا المعنى	43	{وَلَوْلَا أَن يَكُونَ النَّاسُ أُمَّةً وَاحِدَةً لَّجَعَلْنَا لِمَن يَكْفُرُ بِالرَّحْمَٰنِ لِبُيُوتِهِمْ سُقُفًا مِّن فِضَّةٍ وَمَعَارِجَ عَلَيْهَا يَظْهَرُونَ (33) وَلِبُيُوتِهِمْ أَبْوَابًا وَسُرُرًا عَلَيْهَا يَتَّكِئُونَ (34) وَزُخْرُفًا ۚ وَإِن كُلُّ ذَٰلِكَ لَمَّا مَتَاعُ الْحَيَاةِ الدُّنْيَا ۚ وَالْآخِرَةُ عِندَ رَبِّكَ لِلْمُتَّقِينَ (35)} [سُورَةُ الزُّخۡرُفِ: ٣٣-٣٥]	33	34	35
كل ما خالف أحكام الله تعالى فلا يمكن وصفه بأنه سياسة حسنة و لا إصلاح ولا عدل ولا مراعاة للتعددية ولا غير ذلك من الألفاظ التي تزين بها محادَّة الله في أحكامه. بل هي أهواء محضة منبعثة عن الشهوات المذمومة وأمراض القلوب. اذكر آيتين في سورتين مختلفتين تدلان على ذلك	42-45	{ثُمَّ جَعَلْنَاكَ عَلَىٰ شَرِيعَةٍ مِّنَ الْأَمْرِ فَاتَّبِعْهَا وَلَا تَتَّبِعْ أَهْوَاءَ الَّذِينَ لَا يَعْلَمُونَ} [الجاثية : 18]  {فَلِذَٰلِكَ فَادْعُ ۖ وَاسْتَقِمْ كَمَا أُمِرْتَ ۖ وَلَا تَتَّبِعْ أَهْوَاءَهُمْ ۖ وَقُلْ آمَنتُ بِمَا أَنزَلَ اللَّهُ مِن كِتَابٍ ۖ وَأُمِرْتُ لِأَعْدِلَ بَيْنَكُمُ ۖ اللَّهُ رَبُّنَا وَرَبُّكُمْ ۖ لَنَا أَعْمَالُنَا وَلَكُمْ أَعْمَالُكُمْ ۖ لَا حُجَّةَ بَيْنَنَا وَبَيْنَكُمُ ۖ اللَّهُ يَجْمَعُ بَيْنَنَا ۖ وَإِلَيْهِ الْمَصِيرُ} [الشورى : 15]	18	15	
يتعمد أهل الباطل نشر الرذائل والشهوات المحرمة في أقوامهم ليسهل عليهم سوقهم في طريق الضلال وحملهم على تنفيذ ما يأمرونهم به من باطل. اذكر آية تشير إلى هذا المعنى.	43	{فَاسْتَخَفَّ قَوْمَهُ فَأَطَاعُوهُ ۚ إِنَّهُمْ كَانُوا قَوْمًا فَاسِقِينَ} [سُورَةُ الزُّخۡرُفِ: ٥٤]	54		
كلمة أطلقها الله تعالى على وحيه؛ نستدل من خلالها على أن الإنسان الذي يعيش بعيداً عن الوحي وإقامة أمر الله يشبه جثة هامدة لا حياة فيها. اذكر الكلمة و الآية التي وردت فيها.	42	{وَكَذَٰلِكَ أَوْحَيْنَا إِلَيْكَ رُوحًا مِّنْ أَمْرِنَا ۚ مَا كُنتَ تَدْرِي مَا الْكِتَابُ وَلَا الْإِيمَانُ وَلَٰكِن جَعَلْنَاهُ نُورًا نَّهْدِي بِهِ مَن نَّشَاءُ مِنْ عِبَادِنَا ۚ وَإِنَّكَ لَتَهْدِي إِلَىٰ صِرَاطٍ مُّسْتَقِيمٍ} [سُورَةُ الشُّورَىٰ: ٥٢ [	52		
آية فيها وصفان جميلان دقيقان للقرآن.  فحياة قلب كل واحد منا تكون بالقرآن ، و كذا نجاتُه من الظلمات ، السؤال هو : اذكر هاتين الكلمتين . 	42	{وَكَذَٰلِكَ أَوْحَيْنَا إِلَيْكَ رُوحًا مِّنْ أَمْرِنَا ۚ مَا كُنتَ تَدْرِي مَا الْكِتَابُ وَلَا الْإِيمَانُ وَلَٰكِن جَعَلْنَاهُ نُورًا نَّهْدِي بِهِ مَن نَّشَاءُ مِنْ عِبَادِنَا ۚ وَإِنَّكَ لَتَهْدِي إِلَىٰ صِرَاطٍ مُّسْتَقِيمٍ} [سُورَةُ الشُّورَىٰ: ٥٢ [	52		
قال إبراهيم عليه السلام لقومه : { وَقَالَ إِنَّمَا ٱتَّخَذۡتُم مِّن دُونِ ٱللَّهِ أَوۡثَـٰنࣰا مَّوَدَّةَ بَیۡنِكُمۡ فِی ٱلۡحَیَوٰةِ ٱلدُّنۡیَاۖ ثُمَّ یَوۡمَ ٱلۡقِیَـٰمَةِ یَكۡفُرُ بَعۡضُكُم بِبَعۡضࣲ وَیَلۡعَنُ بَعۡضُكُم بَعۡضࣰا وَمَأۡوَىٰكُمُ ٱلنَّارُ وَمَا لَكُم مِّن نَّـٰصِرِینَ }[سُورَةُ العَنكَبُوتِ: ٢٥] . اذكر آية كريمة تحمل نفس المعنى .	43	{ ٱلۡأَخِلَّاۤءُ یَوۡمَىِٕذِۭ بَعۡضُهُمۡ لِبَعۡضٍ عَدُوٌّ إِلَّا ٱلۡمُتَّقِینَ }[سُورَةُ الزُّخۡرُفِ: ٦٧]	67		
كلمة وَرَدَتْ في حق المؤمنين و الكافرين في السورة نفسها مرفوعة و منصوبة يما يذكر بحديث :( و عِزَّتِي لا أجمعُ على عَبدي خَوفيْنِ و أَمنيْنِ ، إذا خافَني في الدُّنيا أمَّنْتُه يومَ القيامةِ ، و إذا أمِنَني في الدُّنيا أَخَفْتُه في الآخِرةِ ) ( قال الألباني في صحيح الترغيب : حسن صحيح ).	42	{یَسۡتَعۡجِلُ بِهَا ٱلَّذِینَ لَا یُؤۡمِنُونَ بِهَاۖ وَٱلَّذِینَ ءَامَنُوا۟ مُشۡفِقُونَ مِنۡهَا وَیَعۡلَمُونَ أَنَّهَا ٱلۡحَقُّۗ أَلَاۤ إِنَّ ٱلَّذِینَ یُمَارُونَ فِی ٱلسَّاعَةِ لَفِی ضَلَـٰلِۭ بَعِیدٍ }[سُورَةُ الشُّورَىٰ: ١٨ [ {تَرَى ٱلظَّـٰلِمِینَ مُشۡفِقِینَ مِمَّا كَسَبُوا۟ وَهُوَ وَاقِعُۢ بِهِمۡۗ وَٱلَّذِینَ ءَامَنُوا۟ وَعَمِلُوا۟ ٱلصَّـٰلِحَـٰتِ فِی رَوۡضَاتِ ٱلۡجَنَّاتِۖ لَهُم مَّا یَشَاۤءُونَ عِندَ رَبِّهِمۡۚ ذَ ٰ⁠لِكَ هُوَ ٱلۡفَضۡلُ ٱلۡكَبِیرُ }[سُورَةُ الشُّورَىٰ: ٢٢ [	18	22	
