نص السؤال 	رقم السورة 	رقم الآية 	رقم آية1	رقم آية2
لما كان تضييع نصوص الوحي القرآني أمراً مستحيلاً على الشيطان لأن الله قدر حفظه فإن محاولة الشيطان تكون بتضييع معنى النص بالخطأ في الفهم. اذكر آيةً تحمل هذا المعنى.	22	{ وَمَا أَرْسَلْنَا مِن قَبْلِكَ مِن رَّسُولٍ وَلَا نَبِيٍّ إِلَّا إِذَا تَمَنَّىٰ أَلْقَى الشَّيْطَانُ فِي أُمْنِيَّتِهِ فَيَنسَخُ اللَّهُ مَا يُلْقِي الشَّيْطَانُ ثُمَّ يُحْكِمُ اللَّهُ آيَاتِهِ ۗ وَاللَّهُ عَلِيمٌ حَكِيمٌ} [الحج : 52]	52	
الحق باطل والباطل يتعدد. اذكر آية تبين تخبط الكفار بين أقوال عديدة كلها باطلة.	21	{ بَلْ قَالُوا أَضْغَاثُ أَحْلَامٍ بَلِ افْتَرَاهُ بَلْ هُوَ شَاعِرٌ فَلْيَأْتِنَا بِآيَةٍ كَمَا أُرْسِلَ الْأَوَّلُونَ}[الأنبياء :5 ]	5	
من منهج أهل الباطل أنهم يتهربون من مناقشة الحق إلى الانتقاص من قائله. اذكر آية تحمل هذا المعنى.	21	{وَإِذَا رَآكَ الَّذِينَ كَفَرُوا إِن يَتَّخِذُونَكَ إِلَّا هُزُوًا أَهَٰذَا الَّذِي يَذْكُرُ آلِهَتَكُمْ وَهُم بِذِكْرِ الرَّحْمَٰنِ هُمْ كَافِرُونَ} [ الأنبياء : 36 ]	36	
نهى الله نبيه، ومن بعده أمته، أن نمد أعيننا إلى ما متع به الكافرين في الدنيا. ورسول الله يصبرنا بحقيقة أن ما حرمنا منه في الدنيا وتمتعوا هم به سيكون لنا في الآخرة ويُحرمون هم منه. كما قال في الحديث الذي رواه البخاري: (لا تلْبَسُوا الحرير ولا الديباج، ولا تشربوا في آنية الذهب والفضة ولا تأكلوا في صِحَافِهِمَا؛ فإنَّهَا لهم في الدنيا ولكم في الآخرة). اذكر موضعا في القرآن فيه أن حقيقة حصر الجنة على المؤمنين ينبغي أن تعينهم وتكفيهم كزاد يتزودون به في طريقهم إلى الله. خاصة لمن تعلق قلبه بالآخرة عم طريق العبادة.	21	{وَلَقَدْ كَتَبْنَا فِي الزَّبُورِ مِن بَعْدِ الذِّكْرِ أَنَّ الْأَرْضَ يَرِثُهَا عِبَادِيَ الصَّالِحُونَ(١٠٥) إِنَّ فِي هَٰذَا لَبَلَاغًا لِّقَوْمٍ عَابِدِينَ(١٠٦)} [الأنبياء: 105-106]	105	106
تجد من يمضي -عمره في الظلم والإفساد وترويج الباطل ومحاربة الحق. اذكر آية تصور لحظة تمثل ذروة ندمهم على هذا كله ويقينهم بما أنكروا من قبل.	21	{وَلَئِن مَّسَّتْهُمْ نَفْحَةٌ مِّنْ عَذَابِ رَبِّكَ لَيَقُولُنَّ يَا وَيْلَنَا إِنَّا كُنَّا ظَالِمِينَ}[الأنبياء : 46]	46	
تلمَعُ لُمَعُ الحق للعبد، وحتى أعتى الكفرة يكون الحق قد ظهر لهم في محطات. فمن استغل هذه اللُّمع نجا وسعد، ومن تكبر وأعرض وجحد شقى. اذكر آيتين متتاليتين تصف موقفا لمع فيه الحق لقوم فجحدوه.	21	{فَرَجَعُوا إِلَىٰ أَنفُسِهِمْ فَقَالُوا إِنَّكُمْ أَنتُمُ الظَّالِمُونَ(٦٤) ثُمَّ نُكِسُوا عَلَىٰ رُءُوسِهِمْ لَقَدْ عَلِمْتَ مَا هَٰؤُلَاءِ يَنطِقُونَ(٦٥) }[الأنبياء: 64-65]	64	65
كلمة بمعنى "نُضَيِّق" وردت في أية في هذا الجزء، يؤدي عدم فهمها لسوء فهم كبير. اذكر هذه الكلمة.	21	{وَذَا النُّونِ إِذ ذَّهَبَ مُغَاضِبًا فَظَنَّ أَن لَّن نَّقْدِرَ عَلَيْهِ فَنَادَىٰ فِي الظُّلُمَاتِ أَن لَّا إِلَٰهَ إِلَّا أَنتَ سُبْحَانَكَ إِنِّي كُنتُ مِنَ الظَّالِمِينَ}[الأنبياء:87]	87	
قال لك صديقك: لماذا نخوف الناس من الله ولا نكتفي بالحديث عن رحمة الله والرجاء فيها؟ لماذا نرهبهم من الله بدل أن نحببهم فيه؟ استوقفتك آية ولفت نظرك فيها أن من لم يقوموا بمعصية أبداً بالإجماع، بل هم مجتهدون في الطاعة يخافون الله، فكيف بنا نحن؟! اذكر أربع كلمات تدل هذا المعنى.	21	{يَعْلَمُ مَا بَيْنَ أَيْدِيهِمْ وَمَا خَلْفَهُمْ وَلَا يَشْفَعُونَ إِلَّا لِمَنِ ارْتَضَىٰ وَهُم مِّنْ خَشْيَتِهِ مُشْفِقُونَ }[الأنبياء:28]	28	
اذكر كلمتين تدلان على أن هذا القرآن شرف لمن عمل بما فيه.	21	{لَقَدْ أَنزَلْنَا إِلَيْكُمْ كِتَابًا فِيهِ ذِكْرُكُمْ ۖ أَفَلَا تَعْقِلُونَ}[الأنبياء:10]	10	
لك صديق بدأ يهتم بدراسة الفلسفة وأصبح يغلب عليه استخدامها في دعوته الناس إلى الاستقامة. اذكر أربع كلمات من آية تُبين بِها له أنه حاد عن الطريق الذي أُمر به النبي صلى الله عليه وسلم.	21	{ قُلْ إِنَّمَا أُنذِرُكُم بِالْوَحْيِ ۚ وَلَا يَسْمَعُ الصُّمُّ الدُّعَاءَ إِذَا مَا يُنذَرُونَ}[الأنبياء:45]	45	
ترك العبادة مذلة لتاركها. اذكر سبع كلمات من آية تذكرك بهذا المعنى.	22	{أَلَمْ تَرَ أَنَّ اللَّهَ يَسْجُدُ لَهُ مَن فِي السَّمَاوَاتِ وَمَن فِي الْأَرْضِ وَالشَّمْسُ وَالْقَمَرُ وَالنُّجُومُ وَالْجِبَالُ وَالشَّجَرُ وَالدَّوَابُّ وَكَثِيرٌ مِّنَ النَّاسِ ۖ وَكَثِيرٌ حَقَّ عَلَيْهِ الْعَذَابُ ۗ وَمَن يُهِنِ اللَّهُ فَمَا لَهُ مِن مُّكْرِمٍ ۚ إِنَّ اللَّهَ يَفْعَلُ مَا يَشَاءُ} [الحج:18]	18	
آية فيها تهكم بمن يظن أن الغلبة لن تكون لهذا الدين.	22	{مَن كَانَ يَظُنُّ أَن لَّن يَنصُرَهُ اللَّهُ فِي الدُّنْيَا وَالْآخِرَةِ فَلْيَمْدُدْ بِسَبَبٍ إِلَى السَّمَاءِ ثُمَّ لْيَقْطَعْ فَلْيَنظُرْ هَلْ يُذْهِبَنَّ كَيْدُهُ مَا يَغِيظُ}[الحج:15]	15	
