نص السؤال 	رقم السورة 	رقم الآية	رقم آية 1	رقم آية 2
قد يظن القارئ لقوله تعالى - حكاية عن نبيه لوط - في سورة الحجر ( هؤلاء بـــــاتي إن كنـــــم فاعليـــن ) [ الحجر : 71 ] أنه يدعو قومه لمعصية أهون من معصية . اذكر ثلاث كلمات من آية في هذا الجزء تدفع هذا الظن	11	{وَجَاۤءَهُۥ قَوۡمُهُۥ یُهۡرَعُونَ إِلَیۡهِ وَمِن قَبۡلُ كَانُوا۟ یَعۡمَلُونَ ٱلسَّیِّـَٔاتِۚ قَالَ یَـٰقَوۡمِ هَـٰۤؤُلَاۤءِ بَنَاتِی هُنَّ أَطۡهَرُ لَكُمۡۖ فَٱتَّقُوا۟ ٱللَّهَ وَلَا تُخۡزُونِ فِی ضَیۡفِیۤۖ أَلَیۡسَ مِنكُمۡ رَجُلࣱ رَّشِیدࣱ }[سُورَةُ هُودٍ: ٧٨ [	78	
 من أهم الحواجز النفسية التي ينبغي العمل على كسرها في نفوس المخاطبين بالدعوة ظنهم أننا ندعوهم في سبيل تحصيل مصالح دنيوية . اذكر آية تدل على ذلك	11	{ وَیَـٰقَوۡمِ لَاۤ أَسۡـَٔلُكُمۡ عَلَیۡهِ مَالًاۖ إِنۡ أَجۡرِیَ إِلَّا عَلَى ٱللَّهِۚ وَمَاۤ أَنَا۠ بِطَارِدِ ٱلَّذِینَ ءَامَنُوۤا۟ۚ إِنَّهُم مُّلَـٰقُوا۟ رَبِّهِمۡ وَلَـٰكِنِّیۤ أَرَىٰكُمۡ قَوۡمࣰا تَجۡهَلُونَ }[سُورَةُ هُودٍ: ٢٩]	29	
اذكر كلمة من جزء اليوم يستدل بها بعض العلماء على أن مجرد بلاغة القرآن وفصـاحتـه كافية في الإعجـاز بقطع النظر عن علو مـعـانـيـه ومـا حواه من الدلالات الأخرى على أنه من عند الله	11	{أَمۡ یَقُولُونَ ٱفۡتَرَىٰهُۖ قُلۡ فَأۡتُوا۟ بِعَشۡرِ سُوَرࣲ مِّثۡلِهِۦ مُفۡتَرَیَـٰتࣲ وَٱدۡعُوا۟ مَنِ ٱسۡتَطَعۡتُم مِّن دُونِ ٱللَّهِ إِن كُنتُمۡ صَـٰدِقِینَ }[سُورَةُ هُودٍ: ١٣ [	13	
قوم من أقوام الأنبياء كرروا في جحدهم رسـالة نبيهم كلمة ، فقابلها نبيهم بكلمة تطعن في أفهامهم وتقديراتهم التي اعتمدوا عليها . ما هي هذه الكلمة ؟	11	{فَقَالَ ٱلۡمَلَأُ ٱلَّذِینَ كَفَرُوا۟ مِن قَوۡمِهِۦ مَا نَرَىٰكَ إِلَّا بَشَرࣰا مِّثۡلَنَا وَمَا نَرَىٰكَ ٱتَّبَعَكَ إِلَّا ٱلَّذِینَ هُمۡ أَرَاذِلُنَا بَادِیَ ٱلرَّأۡیِ وَمَا نَرَىٰ لَكُمۡ عَلَیۡنَا مِن فَضۡلِۭ بَلۡ نَظُنُّكُمۡ كَـٰذِبِینَ (٢٧) قَالَ یَـٰقَوۡمِ أَرَءَیۡتُمۡ إِن كُنتُ عَلَىٰ بَیِّنَةࣲ مِّن رَّبِّی وَءَاتَىٰنِی رَحۡمَةࣰ مِّنۡ عِندِهِۦ فَعُمِّیَتۡ عَلَیۡكُمۡ أَنُلۡزِمُكُمُوهَا وَأَنتُمۡ لَهَا كَـٰرِهُونَ (٢٨) }[سُورَةُ هُودٍ: ٢٧-٢٨ [	27	28
 قد يساوم أهل الباطل المسلم بالترغيب بإشعاره أنه سيبقى محترماً عندهم إذا تخلى عن دعوته . اذكر موضعين في كل منهما 4 كلمات استخدم فيهما قوم نبي هذا الأسلوب .	11	{قَالُوا۟ یَـٰصَـٰلِحُ قَدۡ كُنتَ فِینَا مَرۡجُوࣰّا قَبۡلَ هَـٰذَاۤۖ أَتَنۡهَىٰنَاۤ أَن نَّعۡبُدَ مَا یَعۡبُدُ ءَابَاۤؤُنَا وَإِنَّنَا لَفِی شَكࣲّ مِّمَّا تَدۡعُونَاۤ إِلَیۡهِ مُرِیبࣲ }[سُورَةُ هُودٍ: ٦٢ [ . {قَالُوا۟ یَـٰشُعَیۡبُ أَصَلَوٰتُكَ تَأۡمُرُكَ أَن نَّتۡرُكَ مَا یَعۡبُدُ ءَابَاۤؤُنَاۤ أَوۡ أَن نَّفۡعَلَ فِیۤ أَمۡوَ ٰ⁠لِنَا مَا نَشَـٰۤؤُا۟ۖ إِنَّكَ لَأَنتَ ٱلۡحَلِیمُ ٱلرَّشِیدُ }[سُورَةُ هُودٍ: ٨٧ [	87	
التسويف بالاستقامة ، وتمنية النفس أن هذا آخر الأخطاء ، مدخل شيطاني لاقتحام المخالفة ثم الركون إلى مثلها . اذكر خمس كلمات من آية فيها ذكر لتسويف كهذا	12	{ٱقۡتُلُوا۟ یُوسُفَ أَوِ ٱطۡرَحُوهُ أَرۡضࣰا یَخۡلُ لَكُمۡ وَجۡهُ أَبِیكُمۡ وَتَكُونُوا۟ مِنۢ بَعۡدِهِۦ قَوۡمࣰا صَـٰلِحِینَ }[سُورَةُ يُوسُفَ: ٩ [	9	
عزة النفس تزيد ثقة الناس بصدقك . اذكرآية تدل على ذلك 	12	{قَالَ مَا خَطۡبُكُنَّ إِذۡ رَ ٰ⁠وَدتُّنَّ یُوسُفَ عَن نَّفۡسِهِۦۚ قُلۡنَ حَـٰشَ لِلَّهِ مَا عَلِمۡنَا عَلَیۡهِ مِن سُوۤءࣲۚ قَالَتِ ٱمۡرَأَتُ ٱلۡعَزِیزِ ٱلۡـَٔـٰنَ حَصۡحَصَ ٱلۡحَقُّ أَنَا۠ رَ ٰ⁠وَدتُّهُۥ عَن نَّفۡسِهِۦ وَإِنَّهُۥ لَمِنَ ٱلصَّـٰدِقِینَ }[سُورَةُ يُوسُفَ: ٥١ ]	51	
آية يستدل بها أهل العلم على أن الذي أمر إبراهيم بذبحه هو اسماعيل وليس إسحاق .	11	{وَٱمۡرَأَتُهُۥ قَاۤىِٕمَةࣱ فَضَحِكَتۡ فَبَشَّرۡنَـٰهَا بِإِسۡحَـٰقَ وَمِن وَرَاۤءِ إِسۡحَـٰقَ یَعۡقُوبَ }[سُورَةُ هُودٍ: ٧١]	71	
ما يحل بالأمم من بلايا لا يتعظ به إلا المؤمنون . قال الله تعالى : ( إن في ذلك لذكرى لمن كان له قلب أو ألقى الشــع وهو شهيد ) [ ق : 37 ] . بينما تجد من لا يحسب حسابا للجزاء بعد الموت يحيل أسباب ما حل بالأمم السابقة على ظواهر كونية وأسباب مادية عادية ، ويقول أن هذا لا علاقة له بإيماننهم وكفرهم . اذكر آية في نهاية مجموعة من قصص السابقين تحمل هذا المعنى .	11	}إِنَّ فِی ذَ ٰ⁠لِكَ لَـَٔایَةࣰ لِّمَنۡ خَافَ عَذَابَ ٱلۡـَٔاخِرَةِۚ ذَ ٰ⁠لِكَ یَوۡمࣱ مَّجۡمُوعࣱ لَّهُ ٱلنَّاسُ وَذَ ٰ⁠لِكَ یَوۡمࣱ مَّشۡهُودࣱ }[سُورَةُ هُودٍ: ١٠٣ [	103	
ذكرنا في سـورة آل عمران ، أن ترك الأمر بالمعروف والنهي عن المنكر يكون سببا للنزاع والفراق ( ولا تكونوا كالذين تفرقوا واختلفوا من بعد ما جاءهم البيناث ) . اذكر آية تبين أن التصدي لأهل الفسـاد هو سبب للحفاظ على الأمم من الهلاك	11	{فَلَوۡلَا كَانَ مِنَ ٱلۡقُرُونِ مِن قَبۡلِكُمۡ أُو۟لُوا۟ بَقِیَّةࣲ یَنۡهَوۡنَ عَنِ ٱلۡفَسَادِ فِی ٱلۡأَرۡضِ إِلَّا قَلِیلࣰا مِّمَّنۡ أَنجَیۡنَا مِنۡهُمۡۗ وَٱتَّبَعَ ٱلَّذِینَ ظَلَمُوا۟ مَاۤ أُتۡرِفُوا۟ فِیهِ وَكَانُوا۟ مُجۡرِمِینَ (١١٦) وَمَا كَانَ رَبُّكَ لِیُهۡلِكَ ٱلۡقُرَىٰ بِظُلۡمࣲ وَأَهۡلُهَا مُصۡلِحُونَ (١١٧) }[سُورَةُ هُودٍ: ١١٦-١١٧ [	117	
 قال الله تعالى : ( فأما الإنسـان إذا ما ابتلاه ربه فأكرمه ونعمه فيقول ربي أكرمن - وأما إذا ما ابتلاه فقدر عليه رزقه فيقول ربي أهائن ) [ الفجر : 15 - 16 ] . والآيات تشير إلى فهم خاطئ عند البعض ، إذ يربط بين الحالة المادية للإنسان في الدنيا ومنزلته عند الله . اذكر آية من هذه الأجزاء تشير إلى أن حال الإنسان في الدنيا من فقر أو غنى أو جاه أو منصب لا علاقة له بمنزلته عند الله	11	{وَلَاۤ أَقُولُ لَكُمۡ عِندِی خَزَاۤىِٕنُ ٱللَّهِ وَلَاۤ أَعۡلَمُ ٱلۡغَیۡبَ وَلَاۤ أَقُولُ إِنِّی مَلَكࣱ وَلَاۤ أَقُولُ لِلَّذِینَ تَزۡدَرِیۤ أَعۡیُنُكُمۡ لَن یُؤۡتِیَهُمُ ٱللَّهُ خَیۡرًاۖ ٱللَّهُ أَعۡلَمُ بِمَا فِیۤ أَنفُسِهِمۡ إِنِّیۤ إِذࣰا لَّمِنَ ٱلظَّـٰلِمِینَ }[سُورَةُ هُودٍ: ٣١ [	31	
حسن سيرتك خير دعوة ، إذ هو يجعل الناس يطلبون علمك من أنفسهم . اذكر خاتمة آية من أربع كلمات تشير إلى هذا المعنى	12	{نَبِّئۡنَا بِتَأۡوِیلِهِۦۤۖ إِنَّا نَرَىٰكَ مِنَ ٱلۡمُحۡسِنِینَ }[سُورَةُ يُوسُفَ: ٣٦ [	36	
